Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Country,Happiness.Rank_17,Happiness.Score_17,Family_17,Health..Life.Expectancy._17,Freedom_17,Economy..GDP.per.Capita._17
Costa Rica,Latin America and Caribbean,12,7.226,0.04454,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,Costa Rica,12,7.078999996,1.416403651,0.759509265,0.58013165,1.109706283
Croatia,Central and Eastern Europe,62,5.759,0.04394,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,Croatia,77,5.293000221,0.967983007,0.701288521,0.255772293,1.222556233
Cyprus,Western Europe,67,5.689,0.0558,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,Cyprus,65,5.620999813,1.131363273,0.844714701,0.355111539,1.355938077
Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,Czech Republic,23,6.609000206,1.433885217,0.754444003,0.490946174,1.352682352
Denmark,Western Europe,3,7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,Denmark,2,7.521999836,1.551121593,0.792565525,0.626006722,1.482383013
Dominican Republic,Latin America and Caribbean,98,4.885,0.07446,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,Dominican Republic,86,5.230000019,1.402416706,0.574873745,0.552589834,1.079373837
Ecuador,Latin America and Caribbean,48,5.975,0.04528,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,Ecuador,44,6.007999897,1.286168814,0.685636222,0.455198199,1.000820398
Egypt,Middle East and Northern Africa,135,4.194,0.0326,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,Egypt,104,4.735000134,0.997471392,0.520187259,0.282110155,0.989701807
El Salvador,Latin America and Caribbean,42,6.13,0.05618,0.76454,1.02507,0.67737,0.4035,0.11776,0.10692,El Salvador,45,6.002999783,1.182125092,0.596018553,0.43245253,0.909784496
Estonia,Central and Eastern Europe,73,5.429,0.04013,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,Estonia,66,5.611000061,1.4766711,0.695168316,0.47913143,1.32087934
Ethiopia,Sub-Saharan Africa,122,4.512,0.0378,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,Ethiopia,119,4.460000038,0.864669204,0.353409708,0.408842742,0.339233845
Finland,Western Europe,6,7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,Finland,5,7.468999863,1.540246725,0.80915767,0.617950857,1.443571925
